iter	RMSE
0	0.3295769368
1	0.3253329736
2	0.3213589466
3	0.3175331957
4	0.3135226029
5	0.3099602982
6	0.306715961
7	0.3033198361
8	0.3001930953
9	0.2965994413
10	0.2932818586
11	0.2901454314
12	0.2868623887
13	0.2838618742
14	0.2807711444
15	0.277811399
16	0.2749036067
17	0.2718404463
18	0.268713669
19	0.2658092821
20	0.263094418
21	0.2605048702
22	0.2579671599
23	0.255082358
24	0.252651446
25	0.2500149151
26	0.2476140863
27	0.2453975041
28	0.2430858055
29	0.2404729223
30	0.238089229
31	0.235633665
32	0.233412374
33	0.2313604676
34	0.2293993083
35	0.2272270964
36	0.225179383
37	0.2230941265
38	0.2211897428
39	0.2191626038
40	0.2175308843
41	0.2158933075
42	0.2140944578
43	0.2123592413
44	0.2106360999
45	0.2089550418
46	0.2071801993
47	0.2055632591
48	0.2040083383
49	0.202474106
50	0.2010087802
51	0.1993634923
52	0.1977084979
53	0.1963986288
54	0.1949361409
55	0.1935429273
56	0.1920909649
57	0.1907075634
58	0.1894042624
59	0.1879235523
60	0.1866949955
61	0.1855460719
62	0.1842772521
63	0.1829424426
64	0.1817434604
65	0.180586946
66	0.1793637216
67	0.1782818724
68	0.1771648609
69	0.1760535975
70	0.1749935414
71	0.1741267434
72	0.1732135999
73	0.1721020616
74	0.1712090302
75	0.170377222
76	0.1694929302
77	0.1685369859
78	0.1678045941
79	0.1668754253
80	0.1659355534
81	0.1651062133
82	0.1642406263
83	0.1633496311
84	0.1625381638
85	0.1616609123
86	0.1607004833
87	0.1599685826
88	0.1591626381
89	0.1583334227
90	0.1576933475
91	0.1570255237
92	0.1562511397
93	0.1554630596
94	0.154685437
95	0.1539395861
96	0.1532465931
97	0.1525457322
98	0.1519842305
99	0.1512863155
100	0.1506456966
101	0.1499494703
102	0.1493410179
103	0.1487618137
104	0.1481989608
105	0.1475588707
106	0.1470180003
107	0.1464642724
108	0.1458914837
109	0.1452875728
110	0.1447215438
111	0.1441944851
112	0.1436654118
113	0.1431345557
114	0.1426847944
115	0.1421516547
116	0.1416404298
117	0.1412249248
118	0.1407668524
119	0.1402083055
120	0.1397372126
121	0.1392983744
122	0.1388479473
123	0.1383827109
124	0.1379371787
125	0.1374533955
126	0.1370407278
127	0.1367312569
128	0.1362969449
