iter	Passed	Remaining
0	46	278604
1	47	140975
2	47	95092
3	48	72224
4	48	58499
5	49	49320
6	49	42780
7	50	37821
8	51	33955
9	51	30851
10	51	28311
11	52	26192
12	52	24393
13	53	22859
14	53	21534
15	54	20378
16	54	19350
17	55	18436
18	55	17621
19	56	16890
20	56	16224
21	57	15617
22	57	15071
23	58	14564
24	58	14098
25	59	13667
26	59	13268
27	60	12893
28	60	12549
29	61	12229
30	61	11926
31	62	11645
32	62	11377
33	63	11127
34	63	10897
35	64	10673
36	64	10464
37	65	10264
38	65	10073
39	66	9892
40	66	9723
41	67	9561
42	67	9409
43	68	9261
44	68	9118
45	69	8980
46	69	8849
47	70	8725
48	70	8607
49	71	8492
50	71	8381
51	72	8277
52	72	8177
53	73	8078
54	73	7983
55	74	7891
56	74	7814
57	75	7729
58	75	7646
59	76	7566
60	76	7488
61	77	7414
62	77	7341
63	78	7273
64	78	7205
65	79	7143
66	79	7078
67	80	7017
68	80	6954
69	81	6896
70	81	6839
71	82	6785
72	82	6732
73	83	6679
74	83	6628
75	84	6578
76	84	6530
77	85	6483
78	85	6436
79	86	6392
80	86	6347
81	87	6306
82	87	6262
83	88	6221
84	88	6183
85	89	6144
86	89	6106
87	90	6069
88	90	6033
89	91	5998
90	91	5963
91	92	5928
92	92	5895
93	93	5862
94	93	5830
95	94	5798
96	94	5769
97	95	5739
98	95	5708
99	96	5679
100	96	5651
101	97	5624
102	97	5597
103	98	5570
104	98	5543
105	99	5518
106	99	5493
107	100	5468
108	100	5444
109	101	5420
110	101	5396
111	102	5374
112	102	5351
113	103	5329
114	103	5307
115	104	5286
116	104	5265
117	105	5245
118	105	5225
119	106	5205
120	106	5186
121	107	5166
122	107	5146
123	108	5128
124	108	5109
125	109	5090
126	109	5072
127	110	5054
128	110	5036
129	111	5019
130	111	5001
131	112	4984
132	112	4967
133	113	4952
134	113	4935
135	114	4919
136	114	4903
137	115	4887
138	115	4872
139	116	4857
140	116	4842
141	117	4829
142	117	4815
143	118	4802
144	118	4788
145	119	4775
146	119	4762
147	120	4748
148	120	4735
149	121	4722
150	121	4708
151	122	4695
152	122	4683
153	123	4670
154	123	4657
155	124	4646
156	124	4634
157	125	4622
158	125	4611
159	126	4599
160	126	4587
161	126	4576
162	127	4564
163	127	4554
164	128	4544
165	128	4533
166	129	4523
167	130	4512
168	130	4502
169	130	4492
170	131	4483
171	132	4472
172	132	4462
173	132	4452
174	133	4446
175	134	4439
176	134	4432
177	135	4426
178	135	4418
179	136	4411
180	137	4405
181	137	4398
182	138	4391
183	138	4384
184	139	4378
185	139	4372
186	140	4365
187	140	4358
188	141	4351
189	142	4345
190	142	4338
191	143	4332
192	143	4326
193	144	4320
194	144	4314
195	145	4308
196	146	4302
197	146	4296
198	147	4290
199	147	4284
200	148	4278
201	148	4273
202	149	4266
203	149	4258
204	150	4251
205	150	4243
206	151	4236
207	151	4229
208	152	4222
209	152	4214
210	153	4207
211	153	4200
212	154	4193
213	154	4186
214	155	4179
215	155	4172
216	156	4165
217	156	4158
218	157	4152
219	157	4146
220	158	4139
221	158	4132
222	159	4126
223	159	4119
224	160	4112
225	160	4106
226	161	4099
227	161	4093
228	162	4087
229	162	4081
230	163	4075
231	163	4069
232	164	4063
233	164	4057
234	165	4051
235	165	4046
236	166	4040
237	166	4034
238	167	4033
239	167	4028
240	168	4022
241	168	4018
242	169	4012
243	169	4007
244	170	4002
245	170	3997
246	171	3993
247	171	3987
248	172	3982
249	172	3977
250	173	3972
251	173	3967
252	174	3962
253	174	3957
254	175	3952
255	175	3947
256	176	3943
257	176	3938
258	177	3933
259	177	3928
260	178	3923
261	178	3919
262	179	3914
263	179	3909
264	180	3904
265	180	3899
266	181	3895
267	181	3890
268	182	3885
269	182	3881
270	183	3877
271	183	3873
272	184	3868
273	184	3864
274	185	3860
275	185	3855
276	186	3851
277	186	3847
278	187	3842
279	187	3838
280	188	3834
281	188	3830
282	189	3826
283	189	3822
284	190	3818
285	190	3814
286	191	3810
287	191	3806
288	192	3801
289	192	3797
290	193	3793
291	193	3789
292	194	3785
293	194	3781
294	195	3777
295	195	3774
296	196	3770
297	196	3766
298	197	3762
299	197	3758
300	198	3754
301	198	3751
302	199	3747
303	199	3743
304	200	3740
305	200	3736
306	201	3732
307	201	3728
308	202	3725
309	202	3721
310	203	3718
311	203	3714
312	204	3711
313	204	3707
314	205	3704
315	205	3701
316	206	3697
317	206	3694
318	207	3691
319	207	3687
320	208	3684
321	208	3681
322	209	3677
323	209	3674
324	210	3671
325	210	3668
326	211	3665
327	211	3662
328	212	3659
329	212	3655
330	213	3652
331	213	3649
332	214	3646
333	214	3642
334	215	3639
335	215	3636
336	216	3633
337	216	3630
338	217	3627
339	217	3624
340	218	3621
341	218	3617
342	219	3615
343	219	3611
344	220	3608
345	220	3605
346	221	3602
347	221	3599
348	222	3596
349	222	3594
350	223	3591
351	223	3588
352	224	3585
353	224	3582
354	225	3579
355	225	3577
356	226	3574
357	226	3571
358	227	3567
359	227	3565
360	228	3562
361	228	3559
362	229	3556
363	229	3554
364	230	3551
365	230	3548
366	231	3545
367	231	3542
368	232	3540
369	232	3538
370	233	3535
371	233	3533
372	234	3530
373	234	3527
374	235	3525
375	235	3522
376	235	3519
377	236	3517
378	236	3514
379	237	3512
380	237	3509
381	238	3507
382	238	3505
383	239	3502
384	240	3500
385	240	3498
386	241	3496
387	241	3494
388	242	3491
389	242	3488
390	243	3486
391	243	3484
392	244	3481
393	244	3478
394	245	3476
395	245	3474
396	246	3471
397	246	3469
398	246	3466
399	247	3464
400	247	3462
401	248	3461
402	249	3459
403	249	3456
404	250	3454
405	250	3451
406	251	3449
407	251	3447
408	252	3445
409	252	3442
410	252	3440
411	253	3438
412	253	3435
413	254	3433
414	254	3431
415	255	3428
416	255	3426
417	256	3424
418	256	3421
419	257	3419
420	257	3417
421	258	3415
422	258	3413
423	259	3410
424	259	3408
425	260	3406
426	260	3404
427	261	3402
428	261	3400
429	262	3398
430	262	3395
431	263	3394
432	263	3391
433	264	3389
434	264	3387
435	265	3385
436	265	3383
437	266	3381
438	266	3379
439	267	3377
440	267	3375
441	268	3373
442	268	3371
443	269	3369
444	269	3367
445	270	3365
446	270	3363
447	271	3361
448	271	3359
449	272	3357
450	272	3355
451	273	3353
452	273	3351
453	274	3349
454	274	3348
455	275	3346
456	275	3344
457	276	3342
458	276	3340
459	277	3338
460	277	3336
461	278	3334
462	278	3332
463	279	3330
464	279	3328
465	280	3326
466	280	3324
467	281	3322
468	281	3321
469	282	3319
470	282	3317
471	283	3315
472	283	3313
473	284	3311
474	284	3309
475	285	3308
476	285	3306
477	286	3304
478	286	3302
479	287	3300
480	287	3298
481	287	3296
482	288	3295
483	288	3293
484	289	3291
485	289	3289
486	290	3288
487	290	3286
488	291	3284
489	291	3283
490	292	3281
491	292	3279
492	293	3277
493	293	3276
494	294	3274
495	294	3273
496	295	3271
497	295	3270
498	296	3268
499	297	3267
500	297	3265
501	297	3263
502	298	3262
503	298	3260
504	299	3258
505	300	3257
506	300	3255
507	301	3254
508	301	3252
509	301	3250
510	302	3249
511	302	3247
512	303	3246
513	304	3245
514	304	3243
515	305	3241
516	305	3240
517	305	3238
518	306	3236
519	306	3234
520	307	3233
521	307	3231
522	308	3230
523	308	3228
524	309	3227
525	309	3225
526	310	3224
527	310	3222
528	311	3220
529	311	3219
530	312	3218
531	312	3216
532	313	3214
533	313	3213
534	314	3211
535	314	3210
536	315	3208
537	315	3207
538	316	3205
539	316	3203
540	317	3202
541	317	3200
542	318	3199
543	318	3197
544	319	3196
545	319	3194
546	320	3193
547	320	3191
548	321	3189
549	321	3188
550	322	3186
551	322	3185
552	323	3184
553	323	3182
554	324	3181
555	324	3179
556	325	3178
557	325	3176
558	326	3175
559	326	3173
560	327	3172
561	327	3171
562	328	3169
563	328	3168
564	329	3166
565	329	3165
566	330	3163
567	330	3162
568	331	3160
569	331	3159
570	332	3157
571	332	3156
